mode,barangay,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
standard,INAYAWAN,936,852,1575.484461062,0.9102564102564102,1.6832098942970086,1.2761649343739316,1.5086354297269056,-0.6231470579286371
standard,KALUBIHAN (POB.),936,26,13.437798957,0.027777777777777776,0.014356622817307693,0.0407097979732906,0.1632884858599063,0.01270240056316052
standard,KALUNASAN,936,729,1246.36768504,0.7788461538461539,1.331589407094017,0.9567221257200855,1.135280910676664,-0.4907859546919231
standard,KAMAGAYAN (POB.),936,97,38.587596479,0.10363247863247864,0.041226064614316237,0.13471693931517095,0.309743010940208,-0.032811425803855876
standard,KASAMBAGAN,936,369,598.750160711,0.3942307692307692,0.6396903426399573,0.6190449273130342,0.7043044855279288,-0.2632965968798606
standard,KINASANG-AN PARDO,936,307,519.797211484,0.327991452991453,0.5553389011581197,0.5878432102905983,0.7322838865021987,-0.26649498124410353
standard,LABANGON,936,1531,2209.18753106,1.6356837606837606,2.3602430887393164,1.5504149757905983,1.8338139538541427,-0.5244567226334409
standard,LAHUG (POB.),936,1606,2735.945429454,1.7158119658119657,2.9230186212115385,1.88905933175,2.281780617098341,-0.6123926944016618
standard,LOREGA (LOREGA SAN MIGUEL),936,224,409.022495344,0.23931623931623933,0.43698984545299147,0.48894925672435896,0.5415896806503562,-0.39794552102262126
standard,LUSARAN,936,67,33.96387596,0.07158119658119658,0.036286192264957266,0.10417994361324787,0.2653213544768555,-0.05925745633727342
standard,LUZ,936,449,699.226068929,0.4797008547008547,0.7470363984284188,0.7188520552083333,0.8550629916469691,-0.18477019420158736
standard,MABINI,936,94,25.399964965,0.10042735042735043,0.02713671470619658,0.12133362686645299,0.3648405863778209,-0.03342631304411103
standard,MABOLO,936,777,1368.110785266,0.8301282051282052,1.4616568218653847,0.9649520626239316,1.145985163367426,-0.6389969421148254
standard,MALUBOG,936,106,38.050427524,0.11324786324786325,0.04065216615811966,0.14258630656623933,0.362586481973099,-0.025494384350385202
standard,MAMBALING,936,1129,1356.015691503,1.2061965811965811,1.4487347131442307,1.0152794120630342,1.2925121213827035,-0.1064714735813872
standard,PAHINA CENTRAL (POB.),936,359,239.434792582,0.38354700854700857,0.25580640233119656,0.48867146600213673,0.6557410911219189,-0.10175010248817462
standard,PAHINA SAN NICOLAS,936,82,28.177944811,0.0876068376068376,0.030104641892094018,0.11212730687927351,0.2885466434860563,-0.04162651837889886
standard,PAMUTAN,936,13,8.786030851,0.013888888888888888,0.009386785097222222,0.02318935091346154,0.11819425944679292,-0.019998215445849565
standard,PARDO (POB.),936,636,1249.581778289,0.6794871794871795,1.3350232674027778,1.0198828945587606,1.215474423492055,-0.7915822609547101
standard,PARI-AN,936,101,33.897318184,0.10790598290598291,0.03621508352991453,0.1338781390128205,0.3316013216874453,-0.028176770576937793
standard,PARIL,936,65,5.309439316,0.06944444444444445,0.005672477901709402,0.07448925483760684,0.2625401205899635,-0.06662447923024195
standard,PASIL,936,791,401.469045401,0.8450854700854701,0.4289199203002137,0.8312918772361111,1.1758111314195299,-0.19318134040863422
standard,PIT-OS,936,167,162.149141615,0.17841880341880342,0.17323626240918805,0.29851172090918804,0.4717647185587544,-0.06718059593600811
standard,PULANGBATO,936,75,158.165389577,0.08012820512820513,0.16898011706944444,0.21978832393910255,0.29956079904017263,-0.2174671261982628
standard,PUNG-OL-SIBUGAY,936,164,44.654891535,0.1752136752136752,0.04770821745192308,0.20896866041559828,0.4932560674584698,-0.0779366912306867
standard,PUNTA PRINCESA,936,936,1410.315104204,1,1.5067469062008547,1.068480673344017,1.3035342964753804,-0.5147169102037723
standard,QUIOT PARDO,936,874,1328.418532843,0.9337606837606838,1.4192505692767095,1.0947285694797009,1.3231408644372937,-0.39354227725220237
standard,SAMBAG I (POB.),936,558,848.541716323,0.5961538461538461,0.9065616627382479,0.7445631020438034,0.8719473861882817,-0.24991366998663178
standard,SAMBAG II (POB.),936,856,884.253467217,0.9145299145299145,0.9447152427532052,0.8427956123643162,0.9890288769111113,-0.09891508214809486
standard,SAN ANTONIO (POB.),936,144,53.240319711,0.15384615384615385,0.05688068345192308,0.19754904484722222,0.4455976778573754,-0.06904650926930112
standard,SAN JOSE,936,112,183.624918366,0.11965811965811966,0.1961804683397436,0.2675567940833333,0.3507511322368248,-0.1678972245227186
standard,SAN NICOLAS CENTRAL,936,587,234.541738193,0.6271367521367521,0.2505787801207265,0.6715064594455128,1.0684407788557548,-0.12845973938736344
standard,SAN ROQUE (CIUDAD),936,381,122.495646079,0.40705128205128205,0.13087141675106836,0.448844057107906,0.7644758555558003,-0.10752243655257909
standard,SANTA CRUZ (POB.),936,124,72.380221707,0.13247863247863248,0.07732929669551282,0.19150245642200855,0.3491818248596175,-0.06090682594214103
standard,SAPANGDAKU,936,146,172.716840032,0.15598290598290598,0.1845265384957265,0.26561608564529915,0.36298365891539625,-7.967780597766261e-4
standard,SAWANG CALERO (POB.),936,641,280.991237669,0.6848290598290598,0.30020431374893164,0.7217176024839743,1.2282566434114812,-0.11359282153380468
standard,SINSIN,936,52,12.712799414000001,0.05555555555555555,0.013582050655982905,0.06763068831623932,0.23364452219209472,-0.04041665477180034
standard,SIRAO,936,130,63.334082545,0.1388888888888889,0.06766461810363247,0.18230692622542735,0.35308965539168946,-0.04242133515503288
standard,SUBA POB. (SUBA SAN NICOLAS),936,826,424.970858743,0.8824786324786325,0.45402869523824785,0.8851358249497864,1.329507344716612,-0.14807815848014405
standard,SUDLON I,936,65,21.772663636,0.06944444444444445,0.023261392773504273,0.086399887991453,0.2535120618588033,0.005471024498619581
standard,SUDLON II,936,52,24.939244652,0.05555555555555555,0.026644492149572648,0.07794167491880342,0.22977574317014313,-0.006246650376639629
standard,T. PADILLA,936,411,290.945959474,0.4391025641025641,0.31083970029273505,0.49225228497435897,0.67858807025476,0.0721546370288475
standard,TABUNAN,936,112,16.331985474,0.11965811965811966,0.01744870242948718,0.13146773188247862,0.3385404514999105,-0.0879967579915657
standard,TAGBAO,936,91,3.998713784,0.09722222222222222,0.0042721301111111115,0.10075105133974359,0.3525526230216327,-0.07568737356437927
standard,TALAMBAN,936,895,1515.274421131,0.9561965811965812,1.6188829285587607,1.149677697917735,1.405538518386747,-0.6610647837970973
standard,TAPTAP,936,68,29.204622223,0.07264957264957266,0.031201519469017093,0.09785481534294872,0.3076318306448365,0.005381503708826063
standard,TEJERO (VILLA GONZALO),936,474,482.520158129,0.5064102564102564,0.5155129894540599,0.6647302939369658,0.8931147961238454,-0.04572044898188343
standard,TINAGO,936,279,116.505155775,0.2980769230769231,0.1244713202724359,0.363205900917735,0.6438094583057464,-0.10268029781590537
standard,TISA,936,1509,2483.834951383,1.6121794871794872,2.6536698198536324,1.5988078413194444,1.9146950550202348,-0.8626588282936907
standard,TO-ONG PARDO,936,36,27.499541015,0.038461538461538464,0.029379851511752136,0.0653128705673077,0.19424079357154736,-0.02020529839271301
standard,ZAPATERA,936,223,165.899513852,0.23824786324786323,0.17724307035470085,0.3398388715576923,0.47666009937088544,-0.06400643875952827
