mode,barangay,horizon,n,actual_total,predicted_total,actual_mean,predicted_mean,mae,rmse,r2
environmental_only,BUHISAN,8,64,23,29.060841287803242,0.359375,0.45407564512192566,0.5150688850005288,0.5759712985898879,-0.023978198289391406
environmental_only,BUHISAN,9,63,21,32.18784906812593,0.3333333333333333,0.510918239176602,0.5291379400881572,0.584004621817446,-0.19371489406448328
environmental_only,BUHISAN,10,62,20,26.758887078360285,0.3225806451612903,0.4315949528767788,0.5192003579573765,0.5751246267564397,-0.16863371759546486
environmental_only,BUHISAN,11,61,20,28.917419598881143,0.32786885245901637,0.4740560589980515,0.5231715585468255,0.5739585009321456,-0.15207042340982935
environmental_only,BUHISAN,12,60,19,22.768378144334037,0.31666666666666665,0.37947296907223393,0.4694486548869848,0.5480399756071868,-0.0610913969663327
environmental_only,BULACAO,0,72,44,74.36162749157162,0.6111111111111112,1.0328003818273837,0.79789091466203,0.9487485961147968,-0.31963865681472603
environmental_only,BULACAO,1,71,44,63.133401951501305,0.6197183098591549,0.8892028443873423,0.7234194264965914,0.848608261694999,-0.0491923365143172
environmental_only,BULACAO,2,70,42,73.58388237990034,0.6,1.051198319712862,0.7831383376386729,0.929782325882782,-0.29304833646751516
environmental_only,BULACAO,3,69,41,69.36074087259269,0.5942028985507246,1.0052281285882998,0.7717177598168473,0.9060665334694606,-0.2145973265358272
environmental_only,BULACAO,4,68,38,70.14278838618576,0.5588235294117647,1.0315115939144963,0.7561948627022065,0.8943594837984657,-0.3342857034875302
environmental_only,BULACAO,5,67,37,58.64818248690555,0.5522388059701493,0.875346007267247,0.702564481160693,0.8146201899329779,-0.09599984389870242
environmental_only,BULACAO,6,66,35,69.4147248395649,0.5303030303030303,1.0517382551449228,0.7710650605319895,0.9097402083867115,-0.4210265222179528
environmental_only,BULACAO,7,65,35,47.355994893092124,0.5384615384615384,0.7285537675860327,0.6788674662616216,0.7885674568923016,-0.059382350380655424
environmental_only,BULACAO,8,64,34,50.178788958370866,0.53125,0.7840435774745448,0.7035859289132439,0.8166725900451106,-0.12514171037056498
environmental_only,BULACAO,9,63,33,51.38504719838063,0.5238095238095238,0.8156356698155657,0.7320856506835941,0.8427266753473771,-0.18633718924182285
environmental_only,BULACAO,10,62,31,49.49414944861253,0.5,0.7982927330421375,0.7205279364572514,0.8270218326135823,-0.19453061747635902
environmental_only,BULACAO,11,61,29,53.69292319362292,0.47540983606557374,0.8802118556331625,0.7255010188794347,0.8457973390805293,-0.3138713965739459
environmental_only,BULACAO,12,60,28,47.436587893146566,0.4666666666666667,0.7906097982191094,0.7013705286237527,0.8052592792191879,-0.1813729880399706
environmental_only,BUOT-TAUP PARDO,0,72,4,0.599181828634051,0.05555555555555555,0.008321969842139596,0.06282426850784618,0.23403643741444868,-0.04390997107045158
environmental_only,BUOT-TAUP PARDO,1,71,4,0.20113227055020372,0.056338028169014086,0.0028328488809887848,0.05909482586807316,0.23736636246264514,-0.05979106169745463
environmental_only,BUOT-TAUP PARDO,2,70,4,0.40606256357181564,0.05714285714285714,0.005800893765311651,0.06254130622774591,0.23845868550878763,-0.05540329167968383
environmental_only,BUOT-TAUP PARDO,3,69,4,0.31103865390152785,0.057971014492753624,0.004507806578283012,0.06247882107103664,0.24104864319093341,-0.06398184137357021
environmental_only,BUOT-TAUP PARDO,4,68,4,0.4026281251983597,0.058823529411764705,0.005921001841152349,0.06416954817444165,0.24158748661666613,-0.05420902852125087
environmental_only,BUOT-TAUP PARDO,5,67,4,0.08337619198528337,0.05970149253731343,0.0012444207758997518,0.06094591331321318,0.24439878825137443,-0.06401355634779571
environmental_only,BUOT-TAUP PARDO,6,66,4,0.3164348274242697,0.06060606060606061,0.004794467082185905,0.06503093699983167,0.24594851979334814,-0.06248942595353113
environmental_only,BUOT-TAUP PARDO,7,65,4,0.08859871202924982,0.06153846153846154,0.001363057108142305,0.06290151864660384,0.24811769176841683,-0.06598808767154929
environmental_only,BUOT-TAUP PARDO,8,64,4,0.17419985095491222,0.0625,0.0027218726711705035,0.06522187267117051,0.2501032122858272,-0.06754759331310156
environmental_only,BUOT-TAUP PARDO,9,63,4,0.28975250395579677,0.06349206349206349,0.004599246094536456,0.06809130958659995,0.2523679302203282,-0.07111827151040417
environmental_only,BUOT-TAUP PARDO,10,62,4,0.17759511340760398,0.06451612903225806,0.002864437313025871,0.06738056634528393,0.254318834042767,-0.0716487007632145
environmental_only,BUOT-TAUP PARDO,11,61,4,0.25024020124395063,0.06557377049180328,0.0041022983810483716,0.06967606887285165,0.2563272233610443,-0.07229502047057701
environmental_only,BUOT-TAUP PARDO,12,60,4,0.19641407503798713,0.06666666666666667,0.0032735679172997854,0.06994023458396645,0.25845134376123663,-0.07352477469267904
environmental_only,BUSAY (POB.),0,72,20,28.922511632287716,0.2777777777777778,0.4017015504484405,0.5102692976139164,0.6114198448204128,-0.10111172210391395
environmental_only,BUSAY (POB.),1,71,20,30.672515562430267,0.28169014084507044,0.4320072614426798,0.5317701192174826,0.6091205597039225,-0.08112799039104868
environmental_only,BUSAY (POB.),2,70,20,32.16984386408001,0.2857142857142857,0.45956919805828583,0.5382750672887818,0.6075961537217314,-0.06408713028556767
environmental_only,BUSAY (POB.),3,69,19,32.63591403058873,0.2753623188405797,0.47298426131288007,0.5522993900918785,0.6177341877410102,-0.10779042843778108
environmental_only,BUSAY (POB.),4,68,19,29.652970035016754,0.27941176470588236,0.43607308875024636,0.5330386377039551,0.6126089093004874,-0.07718153984359688
