mode,barangay,horizon,n,mae,rmse,r2
environmental_only,GUBA,8,64,0.19673888273091678,0.47748521463715776,-0.11305812310761776
environmental_only,GUBA,12,60,0.2040931123059854,0.4886949857747585,-0.10367399337228367
environmental_only,HIPPODROMO,0,72,0.599733753234525,0.7515465828282083,-0.019867163976790003
environmental_only,HIPPODROMO,1,71,0.5957565815379599,0.7505019685318881,-0.008295243340474157
environmental_only,HIPPODROMO,2,70,0.6034877673410715,0.7582153840428291,-0.02212038684185491
environmental_only,HIPPODROMO,3,69,0.584436349977384,0.7493466316571707,0.00838334480568026
environmental_only,HIPPODROMO,4,68,0.5990102174602578,0.7547782084085507,0.003311681672318767
environmental_only,HIPPODROMO,8,64,0.5905986298645864,0.7804957511513955,-0.02978751033751581
environmental_only,HIPPODROMO,12,60,0.5901278982924749,0.802676266541487,-0.0523779854484252
environmental_only,INAYAWAN,0,72,1.1868203475348593,1.4219141003132925,-0.09361613624207377
environmental_only,INAYAWAN,1,71,1.1208464448036515,1.2737936568606065,-0.05812108186056575
environmental_only,INAYAWAN,2,70,1.1497935137820312,1.300691483168841,-0.0988615904693797
environmental_only,INAYAWAN,3,69,1.0713955772259536,1.2090281546511201,-0.018943977141555157
environmental_only,INAYAWAN,4,68,1.084952593745751,1.2217533781126062,-0.06861099388176317
environmental_only,INAYAWAN,8,64,1.0423881037393652,1.2129333945486627,-0.07072949373277493
environmental_only,INAYAWAN,12,60,1.0528979901772455,1.2601419357319041,-0.149999540029077
environmental_only,KALUBIHAN (POB.),0,72,0.060567128456190784,0.1661333534503539,-0.021999351506961418
environmental_only,KALUBIHAN (POB.),1,71,0.05829786794224309,0.16603971696067904,-0.007074454593157142
environmental_only,KALUBIHAN (POB.),2,70,0.05451932509487496,0.16711076464889685,-0.006157628981919849
environmental_only,KALUBIHAN (POB.),3,69,0.05726421820945948,0.16815499769046782,-0.004645728097514734
environmental_only,KALUBIHAN (POB.),4,68,0.05395148295904959,0.1692488492878032,-0.003449090028600832
environmental_only,KALUBIHAN (POB.),8,64,0.04877052630112638,0.17502555497853567,-0.011908373323789467
environmental_only,KALUBIHAN (POB.),12,60,0.05160469414973816,0.18066137923694278,-0.012920019069483368
environmental_only,KALUNASAN,0,72,0.7461600588226804,0.9642469063020194,0.07858181088000948
environmental_only,KALUNASAN,1,71,0.7498344143537484,0.9874477867832188,0.03547040099844334
environmental_only,KALUNASAN,2,70,0.7636116653163053,0.9974392480931131,-0.03195105055442804
environmental_only,KALUNASAN,3,69,0.7365397992643375,0.9703765673588751,0.019872391936283096
environmental_only,KALUNASAN,4,68,0.7339027266911198,0.9442898019621819,-0.07261791257417483
environmental_only,KALUNASAN,8,64,0.7451637926697464,0.9593103263961682,-0.1248736897478373
environmental_only,KALUNASAN,12,60,0.734700547093047,0.97157791395753,-0.11090850421844878
environmental_only,KAMAGAYAN (POB.),0,72,0.1626901822961561,0.317056449510811,-0.017813520786064796
environmental_only,KAMAGAYAN (POB.),1,71,0.15878378954908304,0.3217794967586158,-0.03562588590683213
environmental_only,KAMAGAYAN (POB.),2,70,0.16257337239435246,0.32143054899752116,-0.0206778817769242
environmental_only,KAMAGAYAN (POB.),3,69,0.16313323090727713,0.32449897834656705,-0.027318306268985904
environmental_only,KAMAGAYAN (POB.),4,68,0.16939808504765472,0.3267325070482152,-0.02839813019404902
environmental_only,KAMAGAYAN (POB.),8,64,0.14760407467359163,0.3207301521692299,-0.056006600929817685
environmental_only,KAMAGAYAN (POB.),12,60,0.14689476439867016,0.33110984139607247,-0.06383131388031305
environmental_only,KASAMBAGAN,0,72,0.6352994384854137,0.692151495107163,-0.16324029051819955
environmental_only,KASAMBAGAN,1,71,0.6051773511377823,0.6630972550054461,-0.05952077664063782
environmental_only,KASAMBAGAN,2,70,0.6176653567884992,0.675370780862435,-0.09078374282547674
environmental_only,KASAMBAGAN,3,69,0.5973796084644447,0.6564648251675755,-0.022798715590433227
environmental_only,KASAMBAGAN,4,68,0.5897005293462073,0.6483321636849549,0.009868993977609875
environmental_only,KASAMBAGAN,8,64,0.5592600164765337,0.6310429975924693,0.004826281474213823
environmental_only,KASAMBAGAN,12,60,0.5519050262411341,0.6314457702573008,0.019531735797125194
environmental_only,KINASANG-AN PARDO,0,72,0.5933694897774481,0.7830733445526535,0.032902699870098084
environmental_only,KINASANG-AN PARDO,1,71,0.5906962976834441,0.8039086561698816,-0.009244941620317082
environmental_only,KINASANG-AN PARDO,2,70,0.5625789900725156,0.6754473832529762,0.01993734284869164
environmental_only,KINASANG-AN PARDO,3,69,0.5149400089969426,0.6699486494125009,0.03830544142344383
environmental_only,KINASANG-AN PARDO,4,68,0.5651300331252906,0.6861478744342132,-0.006460536038318532
environmental_only,KINASANG-AN PARDO,8,64,0.47423114820788537,0.6190579065805928,-0.03271125342301229
environmental_only,KINASANG-AN PARDO,12,60,0.4619904443442454,0.632328911359614,-0.04381687288502123
environmental_only,LABANGON,0,72,1.2383317333460522,1.4995205176151358,-0.042624712143971344
environmental_only,LABANGON,1,71,1.2086977997782482,1.4840961239069916,-0.029009334428508726
environmental_only,LABANGON,2,70,1.2158878055979525,1.4986247436873479,-0.03467403156455884
environmental_only,LABANGON,3,69,1.2141437570500837,1.4634801138154787,0.027190782173024286
environmental_only,LABANGON,4,68,1.177765305564873,1.4286811240688015,0.02042719421413952
environmental_only,LABANGON,8,64,1.230362743637174,1.543425660544189,-0.12984468554761297
environmental_only,LABANGON,12,60,1.322035087245269,1.6083014587135018,-0.1692467221948668
environmental_only,LAHUG (POB.),0,72,1.5455184304373322,1.9007106076684852,-0.11643761671013753
environmental_only,LAHUG (POB.),1,71,1.428917862763412,1.8134796087159437,-0.00670260481436924
environmental_only,LAHUG (POB.),2,70,1.52074253188083,1.8881761314412102,-0.07597466164000033
environmental_only,LAHUG (POB.),3,69,1.4416855267285087,1.809119475368169,0.021824224244782475
environmental_only,LAHUG (POB.),4,68,1.4304902934069574,1.783341780403943,0.023522990961791
environmental_only,LAHUG (POB.),8,64,1.3896566977176967,1.854649389341497,-0.09873750041707008
environmental_only,LAHUG (POB.),12,60,1.38379988288888,1.8621378353872762,-0.07660253080904877
environmental_only,LOREGA (LOREGA SAN MIGUEL),0,72,0.4735840622363976,0.5033508531057357,-0.17690773259377957
environmental_only,LOREGA (LOREGA SAN MIGUEL),1,71,0.45491478562276205,0.4922199013862571,-0.11435734880258397
environmental_only,LOREGA (LOREGA SAN MIGUEL),2,70,0.4767906842895958,0.5077233271089432,-0.17391876093291536
environmental_only,LOREGA (LOREGA SAN MIGUEL),3,69,0.46412239061358956,0.5016369303768635,-0.1345229003969961
environmental_only,LOREGA (LOREGA SAN MIGUEL),4,68,0.46242232406536143,0.49621134998210464,-0.13514222792354347
environmental_only,LOREGA (LOREGA SAN MIGUEL),8,64,0.4199341730768298,0.4885373418850787,-0.054570804928265826
environmental_only,LOREGA (LOREGA SAN MIGUEL),12,60,0.4094635816223001,0.4891502430594003,-0.04534545755613251
environmental_only,LUSARAN,0,72,0.1291901764214894,0.2726390743475042,0.026925696364254126
environmental_only,LUSARAN,1,71,0.12165484894835332,0.2813929381614419,-0.02347792217225031
environmental_only,LUSARAN,2,70,0.10473990397262677,0.26020125695076723,-0.020778465175138594
environmental_only,LUSARAN,3,69,0.112523883964921,0.2612918723191975,-0.01578081229150574
environmental_only,LUSARAN,4,68,0.10675003757142257,0.2622331473005811,-0.009444500519397048
environmental_only,LUSARAN,8,64,0.09991187239016203,0.2740801073056572,-0.04302078570816126
environmental_only,LUSARAN,12,60,0.10150788495612682,0.28506967495675156,-0.06382905631931912
environmental_only,LUZ,0,72,0.6965244451509821,0.8775297067569459,0.06532833662538307
environmental_only,LUZ,1,71,0.6896326610507448,0.8972298174596175,0.03378271384476761
environmental_only,LUZ,2,70,0.7135634130324855,0.9175500333331232,8.959767543917918e-4
environmental_only,LUZ,3,69,0.7085638745713565,0.9030020990932691,0.04332668856747823
environmental_only,LUZ,4,68,0.666039846335442,0.7534462722395625,0.009823363809344343
environmental_only,LUZ,8,64,0.630049032999645,0.7363071216359672,-0.022393616259239968
environmental_only,LUZ,12,60,0.5857702569514341,0.7475459931096288,-0.01655888960653873
environmental_only,MABINI,0,72,0.16868964472243078,0.4774186175843947,-0.07124345673758126
environmental_only,MABINI,1,71,0.1408135531063334,0.422086130811914,-0.06661274809220363
environmental_only,MABINI,2,70,0.14386791508908958,0.4242840915111248,-0.0640328739640057
