variable,feature,lag,cor_log_incidence,cor_cases,cor_outbreak,cor_large_outbreak,peak_lift,selection_score,selected,group
rh,rh_lag1,1,0.05806691913919555,0.05330285913246451,0.05148369283726051,0.034257035515411524,0.19856388597290803,0.05334611965699952,FALSE,environment
rh,rh_lag2,2,0.05710634624343688,0.05235916832254135,0.04771731258547964,0.032083905748317765,0.18583865579616687,0.05154413570382913,FALSE,environment
rh,rh_lag3,3,0.057501602740988624,0.047846498924335026,0.044167742770354373,0.028034321556707244,0.16219190039166909,0.04881968968624927,FALSE,environment
rh,rh_lag4,4,0.05325461586606452,0.043455153031647785,0.043440975020693086,0.0183031312666929,0.1057678309548004,0.04395696677600483,FALSE,environment
rh,rh_lag12,12,0.04471495475346023,0.040233338842550634,0.03601731315210823,0.027319441366795205,0.15637559997532716,0.040261902583166226,FALSE,environment
rh,rh_lag6,6,0.043861028352201,0.03391940208016433,0.03783540799948173,0.01671410170261118,0.09635756464086694,0.03637163172815823,FALSE,environment
rh,rh_lag5,5,0.045085006846585375,0.03405874281846822,0.03819224634458826,0.013371108646642274,0.07717622128957002,0.03625920573025339,FALSE,environment
rh,rh_lag7,7,0.02280894999720111,0.022431392741129912,0.02232104526927226,0.010043362120828873,0.05783188713493588,0.021144960372878965,FALSE,environment
rh,rh_lag11,11,0.022346359073465244,0.02081028573401736,0.014040242463134844,0.014734870732228247,0.08444310458273237,0.01975323203814671,FALSE,environment
rh,rh_lag8,8,0.01833119967617489,0.012586022548412824,0.017086877006451485,0.005536265330991008,0.03184119707534148,0.014693415203496814,FALSE,environment
rh,rh_lag10,10,0.009820474927489158,0.009376898685067171,0.008366144531268788,0.006820154802722202,0.039131954388380796,0.009257679456473683,FALSE,environment
rh,rh_lag9,9,0.0015664364420613045,0.0050477984144289235,0.004405243082966623,0.008575760726439374,0.04926382958874291,0.004622280794766444,FALSE,environment
temp_c,temp_c_lag12,12,0.15615858691319057,0.12829419531574657,0.11986700543469465,0.07408812480686247,0.424078033021308,0.13159394479898764,TRUE,environment
temp_c,temp_c_lag11,11,0.15334580220775568,0.12506368781315233,0.11719041378559748,0.07342101104433763,0.4207636579709,0.12898304861106177,TRUE,environment
temp_c,temp_c_lag13,13,0.15187525478982591,0.12465507364756688,0.11675748213072737,0.07080040569239951,0.4047724861552598,0.12773060636868222,FALSE,environment
temp_c,temp_c_lag10,10,0.15199346944057907,0.12394074821504326,0.11797281089148416,0.07018877346904533,0.4027216330309915,0.1277054055111002,FALSE,environment
temp_c,temp_c_lag9,9,0.14931547652983765,0.11912469343121737,0.11272028992826215,0.06517090090527812,0.3743770676535207,0.12329859068521397,FALSE,environment
temp_c,temp_c_lag14,14,0.14813582103406384,0.1183999609100323,0.11297562520428195,0.0658282844838286,0.3758932998338364,0.12281036745473523,FALSE,environment
temp_c,temp_c_lag8,8,0.14101290679852663,0.11473298053240608,0.10509525732665566,0.06667768705428852,0.3834890933364552,0.11785271659890706,FALSE,environment
temp_c,temp_c_lag15,15,0.14063808672936862,0.10953668989119755,0.10349452722703674,0.06388577675593407,0.36436090777760993,0.11524450223993254,FALSE,environment
temp_c,temp_c_lag16,16,0.13448520961700583,0.10487742992263949,0.10033831258783624,0.06365897815191748,0.36262817202306685,0.11101041554255399,FALSE,environment
temp_c,temp_c_lag7,7,0.12891342964356423,0.10367316920755897,0.09883267286998211,0.05842756097827358,0.3364387411894775,0.10743825416249692,FALSE,environment
